1,101,AAPL,25
1,101,MSFT,25
1,101,GOOG,25
1,101,AMZN,25
2,102,SPY,60
2,102,QQQ,40
3,103,TSLA,40
3,103,NVDA,30
3,103,BTC-USD,30
4,104,VTI,100
5,105,AAPL,30
5,105,MSFT,20
5,105,GILD,20
5,105,JNJ,30
6,106,QQQ,50
6,106,AGG,50
7,107,BRK.B,70
7,107,JPM,30
8,108,SPY,33.33
8,108,IWM,33.33
8,108,GLD,33.34
9,109,NVDA,60
9,109,TSLA,40
10,110,AAPL,20
10,110,MSFT,20
10,110,GOOG,20
10,110,AMZN,20
10,110,FB,20
11,111,VTI,80
11,111,VXUS,20
12,112,SCHD,50
12,112,VOO,50
13,113,BTC-USD,50
13,113,ETH-USD,50
14,114,MSFT,100
15,115,GOOG,40
15,115,AMZN,30
15,115,TSLA,30
16,116,SPY,70
16,116,TLT,30
17,117,VTI,50
17,117,BND,50
18,118,AAPL,25
18,118,MSFT,25
18,118,GOOG,25
18,118,AMZN,25
19,119,NVDA,50
19,119,TSLA,50
20,120,VOO,100
