1,35,75000,6,15,100000,retirement
2,28,45000,4,20,20000,house
3,50,120000,7,5,50000,wealth_growth
4,62,90000,3,10,250000,retirement
5,38,60000,5,12,75000,house
6,25,30000,2,30,5000,wealth_growth
7,48,150000,8,8,175000,retirement
8,55,80000,4,10,120000,retirement
9,32,55000,6,25,35000,house
10,68,100000,2,5,300000,retirement
11,29,40000,3,20,15000,education
12,42,70000,7,15,80000,wealth_growth
13,58,110000,5,7,200000,retirement
14,30,35000,2,30,8000,wealth_growth
15,45,95000,8,10,150000,house
16,65,65000,3,5,180000,retirement
17,37,68000,6,18,90000,education
18,52,130000,9,12,220000,wealth_growth
19,27,38000,4,28,10000,house
20,40,85000,7,10,110000,retirement
